title,genre,nation,running_time,release_date,director,actor,grade,summary,poster
나소흑전기: 첫만남편,애니메이션,중국,101분,2021 .04.22 개봉,MTJJ 목두,"손선영(소흑), 김진홍(무한), 정의한(풍식)",전체 관람가,"숲속의 집을 잃고 홀로 떠돌던 검은 고양이 요정 ‘소흑’은
 도시 뒷골목에서 미스터리한 능력의 요정 ‘풍식’을 만나 위기를 모면한다.
 ‘풍식’의 무리와 버려진 섬에서 행복한 시간을 보내는 ‘소흑’.
 그러던 중 최강 능력의 집행자 ‘무한’이 ‘풍식’을 쫓아 섬에 오자
 ‘풍식’ 일행은 달아나고, ‘소흑’만 남게 된다.
 
 홀로 남은 ‘소흑’을 요정들의 회관으로 데려가려는 ‘무한’과
 ‘무한’을 무서운 인간이라 여겨 도망치려는 ‘소흑’.
 둘은 여정 속에서 점점 마음을 열게 되고,
 ‘무한’은 ‘소흑’에게 특별한 능력이 있음을 알게 된다.
 
 한편, 요정들이 공격받는 의문의 사건이 곳곳에서 일어나고,
 엄청난 능력을 지닌 존재들이 ‘소흑’과 ‘무한’의 앞을 막아서는데…
 
 함께하면 두려울 것 없는 우리들의 이야기는 지금부터!",https://movie-phinf.pstatic.net/20210407_13/16177744390453FVWM_JPEG/movie_image.jpg?type=m203_290_2
나의 작은 동무,드라마,에스토니아,103분,2021 .01.14 개봉,무니카 시멧츠,탐벳 투이스크,12세 관람가,"1950년대 에스토니아,
 수용소로 간 엄마를 기다리는 여섯 살 ‘렐로'는
 엄마와의 약속대로 착한 아이가 되기 위해
 빨간 스카프를 두른 '소년단’이 되기로 결심한다.
 
 한편, '렐로'는 자꾸만 집으로 찾아오는 검은 옷을 입은 어른들에게
 왜 아빠의 자랑스러운 스포츠 메달을 비밀로 해야 하는지 궁금하기만 한데...
 
 '렐로'가 씩씩한 소년단이 되면, 엄마가 입학식 전까지 집으로 돌아올까?",https://movie-phinf.pstatic.net/20201221_129/1608529637803VLHcG_JPEG/movie_image.jpg?type=m203_290_2
나의 흑역사 로맨티카,"멜로/로맨스, 코미디",이탈리아,91분,2021 .09.22 개봉,알리체 필리피,"루도비카 프란체스코니(마르타), 주세페 마조(아르투로)",12세 관람가,"언제 죽을지 몰라도 뜨거운 사랑은 하고 싶은 마르타.
 데이트 앱을 켜 운명의 남자를 찾기 시작하는데
 마음에 드는 사람이 어째 단 한 명도 없다!?
 
 하지만 포기 직전의 마르타에게도 기적은 있었으니...
 이 시대의 완벽남 아르투로가 눈앞에 나타났다!
 첫눈에 사랑에 빠진 마르타는 아찔한 흑역사를 생성하고,
 그 대가로 단 한 번의 저녁 식사 기회를 얻게 되는데...!
 
 우리가 사랑에 빠질 확률 9.5%
 마르타의 목숨을 건 작전은 성공할 수 있을까?",https://movie-phinf.pstatic.net/20210913_150/1631495473829WI003_JPEG/movie_image.jpg?type=m203_290_2
나이트 언데드,"미스터리, 공포, 스릴러",미국,87분,2021 .01.27 개봉,마리오 소렌티,"토마스 크레취만, 나딘 벨라즈퀘즈, 조쉬 스튜어트",15세 관람가,"정체불명의 존재에게 아들 ‘베니’를 잃은 뒤
 아내를 떠나보내고 혼자가 된 메이슨 박사는
 사후세계를 증명하기 위한 프로젝트를 시작한다.
 
 저승과 이승을 연결하는 약의 제조 기술을 가진 ‘마야’가 합류한 뒤
 프로젝트는 성공에 가까워지지만
 이내 환각과 현실 사이 모든 것이 뒤엉키고,
 팀원들이 하나 둘 사라지는 가운데
 메이슨 박사는 아들을 앗아간 존재를 마주하게 되는데…",https://movie-phinf.pstatic.net/20210112_267/1610437147954jjNwg_JPEG/movie_image.jpg?type=m203_290_2
나폴리: 작은 갱들의 도시,"범죄, 드라마",이탈리아,111분,2021 .06.17 개봉,클라우디오 지오바네시,"프란체스코 디 나폴리(니콜라), 비비아나 아프레아(레티치아)",청소년 관람불가,"마피아의 도시, 나폴리. 자연스레 마약 밀매 사업에 뛰어들게 된 십 대 소년 '니콜라'는 거침없는 행동으로 어른들에게도 밀리지 않으며 새로운 실세가 된다. 그러나 곧 다른 구역과의 전쟁이 시작되는데...",https://movie-phinf.pstatic.net/20210615_29/1623724739443tOM6w_JPEG/movie_image.jpg?type=m203_290_2
남색대문,"드라마, 멜로/로맨스",대만,83분,2021 .08.18 개봉,이치엔,"계륜미(멍커로우), 진백림(장시하오), 양우림(린위에전)",12세 관람가,"단짝 친구 ‘위에전’에게 사랑을 느끼는 ‘커로우’
 같은 학교 남학생 ‘시하오’를 짝사랑하는 ‘위에전’
 그리고 ‘커로우’의 비밀을 알지만 사랑을 멈출 수 없는 ‘시하오’
 
 “이 여름이 지나고 나면, 내 마음이 선명해질까?”
 
 누군가를 좋아하는 감정에 어쩔 줄 몰랐던 열일곱
 
 가슴 아린 짝사랑과 설레는 첫사랑 사이에서
 한 여름의 성장통을 지나는 세 청춘의 이야기",https://movie-phinf.pstatic.net/20210809_208/1628492653988tySJj_JPEG/movie_image.jpg?type=m203_290_2
낫아웃,드라마,한국,107분,2021 .06.03 개봉,이정곤,"정재광(광호), 정승길(승길), 김희창(감독)",15세 관람가,"기적이 일어났고, 끝까지 가고 싶었다.
 
 특별할 것 없던 열아홉 고교 야구 입시생 ‘광호’는
 봉황대기 결승전 결승타의 주인공이 된다,
 잘 될 것 같았던 신인 드래프트에서 탈락한 ‘광호’.
 
 야구를 계속하기 위해서는 돈이 필요하다고 생각한 ‘광호’는
 친구에게 불법 휘발유를 파는 일을 소개받아 악착같이 돈을 모으기 시작한다.
 
 하지만 뭐하나 뜻대로 되지 않자,
 결국 ‘광호’는 친구에게 위험한 제안을 하는데….",https://movie-phinf.pstatic.net/20210520_152/1621485754326FuY4e_JPEG/movie_image.jpg?type=m203_290_2
내가 날 부를 때,드라마,중국,127분,2021 .09.09 개봉,인뤄신,"장쯔펑, 샤오양, 주원원",12세 관람가,"꿈을 이루기 위해 홀로 돈을 벌고 공부하며 고군분투하던 ‘안란’.
 어느 날, 간절히 바라던 대학원 진학을 앞두고 갑작스러운 교통사고로 부모님이 돌아가시자
 몇 번 본적도 없는 어린 남동생이 안란에게 덜컥 맡겨진다.
 동생을 키우려면 모든 것을 포기해야 하는데
 누나의 희생은 당연하다고 말하는 어른들.
 
 “내 인생에는 너만 있는 게 아냐.
 나에게도 우주가 있어”",https://movie-phinf.pstatic.net/20210903_287/1630632839035j8SXr_JPEG/movie_image.jpg?type=m203_290_2
내가 죽기를 바라는 자들,"범죄, 스릴러",미국,100분,2021 .05.05 개봉,테일러 쉐리던,"안젤리나 졸리, 니콜라스 홀트, 핀 리틀",15세 관람가,"화재 현장에서 세 명의 아이를 구하지 못한 죄책감과 트라우마로 감시탑에 배정된
 공수소방대원 한나는 거대 범죄의 증거를 가지고 도주 중인 소년을 만난다.
 한편 소년을 쫓던 두 명의 킬러는 사람들의 눈을 돌리기 위해 불을 내고 삽시간에 번져가는데…
 죽이려는 자와 지키려는 자, 거대한 불길 속에서 치닫는 생사를 건 대결.
 그날 밤, 삶과 죽음이 타오르는 불길 속에 모두가 있었다!",https://movie-phinf.pstatic.net/20210421_197/1618986670596Y6mDD_JPEG/movie_image.jpg?type=m203_290_2
내겐 너무 소중한 너,드라마,한국,100분,2021 .05.12 개봉,"이창원, 권성모","진구(재식), 정서연(은혜)",12세 관람가,"돈만 빼고 세상 무서울 게 없다고 호언장담하던 ‘재식’은
 갑자기 세상을 떠난 ‘지영’의 전재산을 먹튀하기 위해
 ‘지영’의 딸 ‘은혜’의 가짜 아빠를 자처하게 된다.
 
 알고 보니 ‘은혜’는 시각과 청각 장애를 모두 가진 아이.
 보지도, 듣지도 못하는 ‘은혜’를 귀찮아 하던 ‘재식’은
 손끝으로 세상을 느끼는 ‘은혜’만의 특별한 방식에
 조금씩 익숙해지기 시작하는데…",https://movie-phinf.pstatic.net/20210513_248/1620894322241bLbgw_JPEG/movie_image.jpg?type=m203_290_2
내겐 너무 어려운 연애,"코미디, 멜로/로맨스",이탈리아,84분,2021 .02.04 개봉,파임 부이얀,파임 부이얀,12세 관람가,이탈리아에서 태어나 로마에서 방글라데시 출신 가족들과 함께 이슬람 커뮤니티에서 살고 있는 파임은 콘서트에서 만난 반항적이고 매력적인 아시아와 사랑에 빠지게 된다. 하지만 이슬람 율법에서는 절대 혼전 성관계를 허락하지 않는다! 종교와 열정 사이 어떤 선택을 할 것인가?,https://movie-phinf.pstatic.net/20210126_9/1611651732762MOfhN_PNG/movie_image.jpg?type=m203_290_2
내일도 우린 사랑하고 있을까,드라마,중국,99분,2021 .03.11 개봉,주남,"안젤라베이비, 리홍기",12세 관람가,"모두에게 친절한 인기 절정의 미소 천사 ‘시만’은
 회사에서 포상휴가를 받아 핀란드로 단체 여행을 떠난다.
 
 그러나 그곳에서 뜻밖의 사고를 당하게 되고,
 과거에 대한 기억은 모두 잃은 채
 자신을 구해준 동료 ‘페이리’와 하루 동안 데이트를 하게 된다.
 
 섬세하고 다정한 너드남 ‘페이리’와
 자신의 버킷리스트를 하나씩 채워가던 중,
 다음 날이면 다시 과거의 기억을 되찾는 대신
 ‘페이리’와 함께한 오늘을 전부 잊게 된다는 사실을 알게 되는데…",https://movie-phinf.pstatic.net/20210223_207/1614048671151wJL4j_JPEG/movie_image.jpg?type=m203_290_2
내일의 기억,"미스터리, 스릴러",한국,99분,2021 .04.21 개봉,서유민,"서예지(수진), 김강우(선우)",15세 관람가,"사고로 기억을 잃은 채 깨어난 수진 옆엔
 자상한 남편 지훈이 그녀를 세심하게 돌봐주고 있다.
 그리고 집에 돌아온 후,
 마주친 이웃들의 위험한 미래가 보이기 시작하자 수진은 혼란에 빠진다.
 
 그러던 어느 날 길에서 만난 옛 직장 동료는
 수진을 걱정하며 지훈에 대한 믿기 힘든 소리를 하고,
 때마침 발견한 사진에서 사진 속 남편 자리엔 지훈이 아닌 다른 남자가 있다.
 
 설상가상 수진은 알 수 없는 남자가 자신을 위협하는 환영에 시달리는데……",https://movie-phinf.pstatic.net/20210406_131/1617688160755B157W_JPEG/movie_image.jpg?type=m203_290_2
네가 내가 되었으면 좋겠다,멜로/로맨스,한국,66분,2021 .06.01 개봉,김충길,"김충길(충길), 황현주(수진)",12세 관람가,"수진을 짝사랑해 왔던 충길은 주변 친구들에게 고백을 하고
 친구들을 동원해 철저하게 계획된 고백 작전을 펼친다.
 엉뚱하지만 기발한, 치밀하지만 귀여운 충길의 고백 작전은 계획한대로 순조롭게
 이루어지는 듯 하지만 예상치 못한 복병을 맞이하게 된다.
 과연 충길의 고백은 성공할 수 있을까?",https://movie-phinf.pstatic.net/20210513_84/1620882380570r9HhJ_JPEG/movie_image.jpg?type=m203_290_2
노 맨스 랜드,"액션, 서부",미국,80분,2021 .03 개봉,미카 라이언스,"크리스 루스, 로레나 안드레아",15세 관람가,"잘나가는 사업가 러스티는 가족과 함께 출장을 가던 길에 도적 떼의 습격을 받는다.
 이로 인해 아들은 죽고 아내는 납치당한 러스티.
 도적의 총에 맞고 다친 러스티를 원주민 랏시가 발견해 목숨을 구한다.
 아내를 구하기 위해 길을 떠나는 러스티에게 랏시는 자신이 길을 안내할테니 보상금을 달라고 요구하는데...",https://movie-phinf.pstatic.net/20210216_101/1613459980419bBpJX_JPEG/movie_image.jpg?type=m203_290_2
노가리,드라마,한국,114분,2021 .03.31 개봉,박민국,"박민국(민국), 서진원(진원), 김은재(혜연)",12세 관람가,"최연소 영화제 진출 감독,
 이 이름 하나면 영화인 꽃길은 보장되는 줄 알았다!
 하지만 돌아온 건, 5년간의 공백!
 
 파리만 날리던 사무실에 100억 투자 제안의 전화 한 통이 온다.
 단, 조건은 해병대와 해녀가 주인공인 전쟁 영화를 만들어달라는 것!
 절호의 기회를 앞두고 그들은 고민에 빠지게 되는데....
 
 자고로 꿈은 크게 가져야 제맛!
 과연 우리에게도 쨍하고 해 뜰 날 돌아올까?",https://movie-phinf.pstatic.net/20210324_82/16165463994993eYsF_JPEG/movie_image.jpg?type=m203_290_2
노매드랜드,드라마,미국,108분,2021 .04.15 개봉,클로이 자오,프란시스 맥도맨드(펀),12세 관람가,"경제적 붕괴로 도시 전체가 무너진 후 홀로 남겨진 ‘펀’.(프란시스 맥도맨드)
 추억이 깃든 도시를 떠나 작은 밴과 함께 한 번도 가보지 않은 낯선 길 위의 세상으로 떠난다.
 그 곳에서 ‘펀’은 각자의 사연을 가진 노매드들을 만나게 되고,
 광활한 자연과 길 위에서의 삶을 스스로 선택한 그들과 만나고 헤어지며
 다시 살아가기 위한 여정을 시작하는데…",https://movie-phinf.pstatic.net/20210325_116/16166363029599OMXS_JPEG/movie_image.jpg?type=m203_290_2
노바디,"액션, 코미디",미국,91분,2021 .04.07 개봉,일리야 나이슐러,밥 오덴커크(허치 맨셀),15세 관람가,"비범한 과거를 숨긴 채 남들과 다를 바 없는 평범한 일상을 사는 한 가정의 가장 ‘허치’
 매일 출근을 하고, 분리수거를 하고 일과 가정 모두 나름 최선을 다하지만
 아들한테는 무시당하고 아내와의 관계도 소원하다.
 그러던 어느 날, 집안에 강도가 들고 허치는 한 번의 반항도 하지 못하고 당한다.
 더 큰 위험으로부터 가족을 지키기 위한 선택이었는데 모두 무능력하다고 ‘허치’를 비난하고,
 결국 그동안 참고 억눌렀던 분노가 폭발하고 만다.",https://movie-phinf.pstatic.net/20210412_226/1618192532740Fjxab_JPEG/movie_image.jpg?type=m203_290_2
노회찬6411,다큐멘터리,한국,127분,2021 .10.14 개봉,민환기,노회찬(본인),12세 관람가,"시커메진 한국 정치의 판을 바꾸고자 했던 사람
 서민의 언어로 그들의 속을 시원하게 대변했던 사람
 함께 비를 맞으며 약자와 공감하고자 했던 사람
 법 앞에 만인이 평등하길 희망했던 사람
 누구나 악기 하나 정도는 다룰 수 있는 사회를 꿈꿨던 사람
 지금 더욱 그리운 이름
 노회찬의 진짜 이야기가 시작된다!",https://movie-phinf.pstatic.net/20210923_285/1632363868716N11A6_JPEG/movie_image.jpg?type=m203_290_2
뉴 오더,드라마,멕시코,86분,2021 .11 개봉,미셸 프랑코,"나이안 곤살레스 노르빈드, 디에고 보네타, 다리오 야즈벡 베르날",청소년 관람불가,"202X 가상의 미래, 불안함이 들끓는 멕시코.
 마리안과 가족들이 고급 저택에서 호화로운 결혼 파티를 즐기고 있는 와중,
 사회 전역에서는 심각한 수준의 폭력 시위가 벌어진다.
 시위대가 침입하면서 저택은 아수라장이 되고
 아픈 유모를 돕기 위해 집을 나선 마리안은 충격적인 사건에 휘말리게 되는데...
 
 재앙 그 이후, 새로운 질서를 마주하라!",https://movie-phinf.pstatic.net/20210924_209/16324665573875yCjK_JPEG/movie_image.jpg?type=m203_290_2
늑대와 빨간 재킷,스릴러,프랑스,86분,2021 .02.03 개봉,뱅상 파로노드,"루시 드베이, 아리 보르탈테르",청소년 관람불가,"클럽에서 곤경에 처한 자신을 도와준 의문의 남자에게 호감을 느낀 '이브'
 하지만 그 남자 역시 사냥감을 물색하던 새디스트 살인마였고 곧 이브의 목숨을 위협한다.
 
 미로 같은 거대한 숲으로 가까스로 피신한 이브는
 더 이상 도망치지 않고 스스로 살인자가 되어 핏빛 복수를 하기로 다짐하는데…",https://movie-phinf.pstatic.net/20210120_150/1611111856192dVj8s_JPEG/movie_image.jpg?type=m203_290_2
다크 스펠,"멜로/로맨스, 공포",러시아 연방,92분,2021 .09.02 개봉,스브야토슬라브 포드가에브스키,"야나 옌자예바, 콘스탄틴 벨로샤프카, 일리야 예르몰로프",청소년 관람불가,"“우리를 두 양초처럼 얽히게 해 주세요
 첫 번째 초는 당신 것, 두 번째 초는 내 것
 당신은 내 것, 나는 당신의 것”
 
 사랑하는 남자에게 버림받은 제냐.
 그의 마음을 되돌리기 위해 ‘검은 결혼식’이라는 주문을 걸고 사랑을 되찾는다.
 하지만 그녀를 향한 그의 사랑은 점점 광적인 집착을 보이는데…",https://movie-phinf.pstatic.net/20210830_18/1630313073309weuuD_JPEG/movie_image.jpg?type=m203_290_2
다크 앤드 위키드,공포,미국,94분,2021 .06.30 개봉,브라이언 버티노,"마린 아일랜드, 마이클 애봇 주니어, 잰더 버클리",15세 관람가,"서로 왕래 없이 소원한 남매 루이스와 마이클은 오랫동안
 병석에 누운 아버지를 보러 일주일간 잠시 시골 농장으로 돌아온다.
 아버지는 여전히 의식이 없고 엄마는 뭔가에 사로잡힌 듯 불안해 보인다.
 익숙한 공간이지만 낯선 위화감. 집 안 가득 도사린 어둡고 사악한 기운은
 점점 그들을 무섭게 옥죄기 시작하는데…",https://movie-phinf.pstatic.net/20210602_102/1622595553079zrw8P_JPEG/movie_image.jpg?type=m203_290_2
당신얼굴 앞에서,드라마,한국,85분,2021 .10.21 개봉,홍상수,"이혜영(상옥), 조윤희(정옥), 권해효(재원)",15세 관람가,"그녀는 고층 아파트에 있어 본 적이 없다.
 여동생은 어떻게 이런 높은 곳에 살면서 괜찮은 걸까, 란 의문이 든다.
 며칠 전부터 동생 집에 불쑥 들어와 살면서 한국에 다시 사는 걸 경험하고 있다.
 숨기는 비밀이 있는 것 같지만, 그래도 하루하루에 집중하며 살게 하는 맘 챙김을 잘하고 있다.
 한 그녀보다 나이 어린 영화감독이 그녀를 영화에 쓰고 싶다고 연락이 왔고,
 한두 번의 사양을 거쳐 오늘 그 감독을 만나러 간다.
 서울 도심 어느 골목에 있는 작고 오래된 술집에서 낮술을 마시는데 비가 내리고 천둥이 친다.",https://movie-phinf.pstatic.net/20210908_98/1631077678630Mtkxn_JPEG/movie_image.jpg?type=m203_290_2
당신은 믿지 않겠지만,드라마,일본,128분,2021 .10.28 개봉,이시이 유야,"이케마츠 소스케, 최희서, 오다기리 죠",12세 관람가,"서울에서 사업으로 잘나간다는 형 토오루(오다기리 죠)의 말만 믿고
 아들을 데리고 무작정 한국으로 날아온 츠요시(이케마츠 소스케)는
 동업자에게 사기를 당한 형 때문에 하루아침에 낯선 서울 길바닥에 나앉을 위기에 처한다.
 그러자 토오루는 기발한 사업 아이템이 있다며 좌절한 츠요시를 꼬셔 강릉으로 향하고,
 기차 안에서 우연히 사연이 가득해 보이는 삼 남매
 솔(최희서), 봄(김예은), 정우(김민재)를 만나 동행하게 되는데…
 
 불운만 가득했던 인생에 벌어진 우연 같은 운명!
 기적이 간절할 때, 우리는 만났다!",https://movie-phinf.pstatic.net/20210927_188/1632733173099Ds1rm_JPEG/movie_image.jpg?type=m203_290_2
당신의 사월,다큐멘터리,한국,87분,2021 .04.01 개봉,주현숙,"이유경(본인), 조수진(본인), 박철우(본인)",전체 관람가,"쓰러져 가던 배를 바라보며 슬퍼하던 교사
 대통령을 만나러 온 유가족을 보며 말 한마디 못 건넨 카페 사장.
 유가족 곁을 지키며 버텨온 인권 활동가
 사고 해역에서 시신을 수습했던 기억에 힘들어하는 진도 어민
 수업 시간에 소식을 접하고 그저 뉴스를 바라본 학생.
 
 시간이 흘렀지만 여전히 흉터처럼 남아 있는
 세월호 참사의 기억을 꺼내놓는다.
 당신과 나처럼…",https://movie-phinf.pstatic.net/20210224_183/1614131241587WTJdt_JPEG/movie_image.jpg?type=m203_290_2
대테러부대: 팀 울프,"전쟁, 액션",터키,88분,2021 .08.25 개봉,알퍼 카글락,베디 아킨,15세 관람가,"2014년, 비극적인 테러 사건으로 동생을 잃은 ‘카야’는 복수를 결심하며
 테러 대응팀 일명 ‘울프’에 들어간다.
 수많은 테러의 위협 속에서 ‘카야’는 동료들과 함께 임무를 완수해 나간다.
 그러다, 우연히 국제 테러조직 IS의 테러를 목격하게 되고,
 ‘카야’는 목숨을 걸고 테러와의 전면전을 펼치기 시작하는데…
 
 작전은 아직 끝나지 않았다!",https://movie-phinf.pstatic.net/20210812_289/1628750126881Kk3wg_JPEG/movie_image.jpg?type=m203_290_2
대환장파티,"드라마, 코미디",한국,76분,2021 .07.22 개봉,"김경재, 강정수, 손다겸","류혜린, 노진원, 안민영",청소년 관람불가,"<뻘짓> : 밤의 황제이자 세상 무서울 것 없는 망나니, ‘승민’. 그런 그에게 인생 가장 큰 걸림돌은 바로 입대다.
 군 면제 사유에 아무 해당 사항이 없어 슬픈 ‘승민’에게 ‘희성’과 ‘정민’이 군 면제의 길을 제시하는데...
 더 놀고 싶은 세 남자의 황당무계 ‘뻘짓’ 감행기.
 
 <군대 가는 남자> : 군대 대신 병역특례업체를 갈 예정이던 ‘창선’은 갑자기 바뀐 법 때문에 군대에 끌려갈 상황에 처한다.
 우선 연기하고 보자는 생각으로 인터넷에서 정보를 찾다가 ‘군대 가기 싫은 사람들의 모임’이라는 카페를 발견하는데...
 
 <동상이몽> : 남편이 사고로 죽고, 홀로 시어머니를 모시며 살아가는 ‘말자’.
 유산 상속을 목적으로 내연남 ‘하남’과 작당모의해 시어머니를 죽이려 하지만 매번 실패한다.
 그러던 어느 날 코로나19가 발생하자, ‘말자’는 마지막 희망(?)을 걸고 시어머니의 죽음을 기획하는데...
 
 <새벽 3시 르네상스> : 어느 날씨 좋은 가을밤 일요일 새벽 3시.
 오늘도 모자란 술과 감성을 채워주는 편의점에 각양각색 다양한 사람들이 모이기 시작한다.
 이곳은 유토피아(Utopia)일까?",https://movie-phinf.pstatic.net/20210712_55/1626077437044RUiWr_JPEG/movie_image.jpg?type=m203_290_2
더 그레이트 샤크,"공포, 스릴러",오스트레일리아,92분,2021 .08.05 개봉,마틴 윌슨,"카트리나 보우든(캐즈), 아론 자쿠벤코(찰리), 키미에 츠카코시(미셸)",12세 관람가,"행복한 휴가를 떠난 5명의 여행객.
 그러나 우연히 상어에 의해 훼손된 시체를 발견하고
 그들의 여행은 순식간에 공포에 휩싸인다.
 
 높아지는 불안감 속에 급히 수상 비행기에 오르지만
 굶주린 상어 떼의 습격으로 망망대해에 조난 당하고 만다.
 
 가까스로 구명보트에 올라탔지만
 그들 주위를 맴도는 식인 상어 떼로 인해
 점점 두려움이 극한으로 치닫는데…
 
 극한의 공포를 견뎌라!",https://movie-phinf.pstatic.net/20210715_95/1626338192428gTnJl_JPEG/movie_image.jpg?type=m203_290_2
더 나이트,"공포, 스릴러",미국,105분,2021 .07.21 개봉,코우로시 아하리,샤하브 호세이니,15세 관람가,"친구들과의 부부 동반 모임을 끝낸 후,
 술 한잔 걸친 바박은 면허가 정지된 아내 네다의 운전을 만류하고
 아내와 한 살배기 딸을 태우고 직접 운전대를 잡고 길을 나선다.
 
 어두운 길을 따라 운전하던 바박은
 2시간째 길을 헤매게 되고 심지어 사고를 낼 뻔하게 되자
 네다는 호텔에서 하룻밤 묵자고 한다.
 
 가까운 호텔에 체크인하고 피곤한 몸을 뉘인 세 사람,
 하지만 누군가 문을 두드리고
 눈으로 보고도 믿지 못할 기이한 현상들이 발생하는데..!
 
 벗어날 수 없는 어둠, 호텔을 빠져나갈 수 있는 방법은 단 하나!
 “진실을 말하면 아침이 올 것이다”",https://movie-phinf.pstatic.net/20210625_188/1624598673307SxNw9_JPEG/movie_image.jpg?type=m203_290_2
더 드라이버,"공포, 액션",미국,97분,2021 .08.20 개봉,위치 카오새야난다,마크 다카스코스,15세 관람가,"지구에 퍼진 끔찍한 좀비바이러스 때문에 이 세상은 좀비로 뒤덮이게 된다.
 전직 암살범 ‘더 드라이버’는 약탈자와 좀비를 피해 가족과 함께 생존자 무리에서 조용히 살아가고 있다.
 그러던 어느 날 그들의 주거지는 약탈자들에게 공격당하게 되면서 큰 폭발이 일어나게 되고,
 그 소리를 들은 좀비떼가 몰려와 생존자 무리를 덮친다.
 격렬한 전투 중에 아내를 잃은 더 드라이버는 몰려오는 좀비떼를 피해 딸 브리와 함께
 안전한 피난처라고 소문난 헤이븐을 찾아 북쪽으로 가게 되는데...",https://movie-phinf.pstatic.net/20210806_63/1628239336462SikDj_JPEG/movie_image.jpg?type=m203_290_2
더 레이서,드라마,벨기에,97분,2021 .02.24 개봉,키에론 J. 월쉬,"루이스 탈페(돔 샤볼), 마테오 시모니(루포 타타레 마리노), 이아인 글렌(소니 맥엘혼)",15세 관람가,전 세계가 열광한 ‘투르 드 프랑스’ 아일랜드 대회. 20년 동안 팀을 승리로 이끌어 온 최고의 페이스 메이커 ‘돔 샤볼’은 주전 자리를 빼앗길지도 모른다는 불안감 속에서 기량을 인정받기 위한 약물 복용의 유혹까지 느낀다. 심리적 불안과 위기감 속에서 ‘돔’은 이제 팀의 우승이 아니라 선수로서의 생명의 위협까지 감내하게 되는데...,https://movie-phinf.pstatic.net/20210128_42/1611816287779WKdX3_JPEG/movie_image.jpg?type=m203_290_2
더 레치드: 악령의 저주,"판타지, 공포",미국,95분,2021 .07.22 개봉,"브렛 피어스, 드류 T. 피어스","존-폴 하워드, 제이미슨 존스",15세 관람가,"부모님의 이혼으로 어머니와 살고 있는 소년 ‘벤’.
 방학을 맞아 아버지 ‘리암’이 있는 한적한 바닷마을에 찾아간 그는
 매일 밤 기이한 소리가 들리는 옆집을 주시한다.
 
 어느 날 옆집 꼬마 ‘딜런’이 소리소문 없이 사라지게 되고
 주변 사람들이 홀린 듯 기억을 잃은 사이, 아이들은 하나 둘씩 실종된다.
 
 끊임없이 기이한 일이 발생하는 마을.
 그리고 사건의 행방을 쫓는 ‘벤’의 눈 앞에
 마침내 모습을 드러낸 끔찍한 존재.
 
 정체 모를 존재의 죽음의 손길을 느낀 ‘벤’은
 자신의 목숨까지도 위협당하기 시작하는데..",https://movie-phinf.pstatic.net/20210628_210/16248461496680fJ8z_JPEG/movie_image.jpg?type=m203_290_2
더 박스,드라마,한국,94분,2021 .03.24 개봉,양정웅,"찬열(지훈), 조달환(민수)",12세 관람가,"100가지 중에 99가지가 안 맞지만,
 단 하나 딱 맞는 게 있다면 오직 ‘음악’ 뿐.
 음악에만 미친 브로들의 계약 여행.
 
 과연 이들은 약속했던
 10번의 무대를 다 채울 수 있을까?",https://movie-phinf.pstatic.net/20210315_37/1615794044458lhiGN_JPEG/movie_image.jpg?type=m203_290_2
더 배니싱,"공포, 미스터리",영국,97분,2021 .06.30 개봉,크리스토퍼 스미스,"제시카 브라운 핀들레이, 숀 해리스, 존 헤퍼난",15세 관람가,"1930년대 후반, 전쟁을 앞두고 불안감이 감도는 영국.
 독실한 목사 ‘라이너스’와 아내 ‘마리안’, 어린 딸 ‘애들레이드’가 새로운 마을로 이사를 온다. 어딘지 불길하고 음산한 기운이 가득한 저택. 어두운 밤이면 기이한 소리가 들리고 딸은 낯선 행동을 하기 시작하며 두려움에 휩싸인 ‘마리안’은 주술가 ‘해리’를 찾아가는데…
 
 세계 최고의 흉가에 숨겨진 이야기가 시작된다!",https://movie-phinf.pstatic.net/20210614_163/1623649660150BnpmH_JPEG/movie_image.jpg?type=m203_290_2
더 수어사이드 스쿼드,"액션, 모험, 판타지, 미스터리, SF",미국,132분,2021 .08.04 개봉,제임스 건,"마고 로비(할리 퀸), 이드리스 엘바(블러드스포트), 존 시나(피스메이커)",청소년 관람불가,"살고 싶다면 무조건 성공시켜라!
 최강 우주 빌런에 맞선, 자살특공대에게 맡겨진 ‘더’ 대책 없는 작전.
 팀플레이가 ‘더’ 불가능한 최악의 안티히어로들.
 최고의 팀워크를 기대한다면 “죽.는.다!”",https://movie-phinf.pstatic.net/20210728_221/1627440327667GyoYj_JPEG/movie_image.jpg?type=m203_290_2
